Address,Panel_Area(m^2),January_Flux,February_Flux,March_Flux,April_Flux,May_Flux,June_Flux,July_Flux,August_Flux,September_Flux,October_Flux,November_Flux,December_Flux,Annual_Flux(kWh/kW/year)
514_Misty_Ln_Livermore_CA_94550,8.625,11774.0,12705.0,20409.0,23898.0,27472.0,28437.0,29453.0,26816.0,22251.0,18200.0,12293.0,10507.0,244215.0
4948_Mansbury_St_Fremont_CA_94538,8.25,11125.0,12342.0,19090.0,23290.0,26641.0,27373.0,28076.0,25548.0,21021.0,16829.0,11603.0,9829.0,232767.0
2145_Francesco_Ct_Livermore_CA_94550,10.0625,11934.0,13353.0,22183.0,27009.0,32374.0,33023.0,35028.0,31372.0,25013.0,18740.0,12230.0,10602.0,272861.0
1277_Anza_Way_Livermore_CA_94550,10.375,14965.0,16360.0,25244.0,29366.0,33164.0,33625.0,35750.0,33039.0,28028.0,23180.0,15890.0,13255.0,301866.0
119_Gordon_St_Pittsburgh_PA_15218,6.25,5363.0,6424.0,9974.0,10894.0,12092.0,12191.0,12644.0,11575.0,9955.0,7661.0,5333.0,4338.0,108444.0
3737_Pinot_Ct_Pleasanton_CA_94566,10.3125,14001.0,15854.0,24228.0,29346.0,32501.0,33145.0,34921.0,32700.0,28008.0,22802.0,15047.0,11965.0,294518.0
lat32.184281_long-81.246749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15_Hobcaw_Ln_Savannah_GA_31411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4872_Canary_Dr_Pleasanton_CA_94566,7.875,11529.0,12289.0,18524.0,21982.0,24361.0,24676.0,26060.0,24508.0,21180.0,17537.0,12272.0,9956.0,224874.0
7508_Flagstone_Dr_Pleasanton_CA_94588,26.5,36340.0,38896.0,59666.0,72296.0,82477.0,84084.0,87883.0,80959.0,67376.0,54670.0,37928.0,30886.0,733461.0
